State,Day,Night
AL,1346,383
AR,49,15
AZ,1427,497
CA,9906,4584
CO,924,399
CT,422,193
DC,32,34
DE,119,66
FL,4751,2009
GA,1541,837
IA,144,52
ID,22,18
IL,1963,786
IN,1130,460
KS,179,57
KY,525,210
LA,1383,340
MA,702,271
MD,696,403
ME,52,12
MI,1263,738
MN,1158,523
MO,552,266
MS,204,30
MT,10,2
NC,4049,1344
NE,475,158
NH,149,52
NJ,841,455
NM,168,27
NV,153,69
NY,2674,1352
OH,1596,864
OK,1309,439
OR,1912,1028
PA,1558,681
RI,266,53
SC,3725,1340
SD,0,1
TN,1758,784
TX,5425,2474
UT,640,251
VA,2562,941
VT,13,2
WA,723,648
WI,318,124
WV,67,23
WY,5,6
