Severity,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,NY,39.9,35.1,68.0,30.06,10.0,6.9,0.0
2,MO,32.0,26.4,92.0,30.28,4.0,5.8,0.0
3,MI,28.0,20.8,85.0,30.09,2.0,6.9,0.0
3,PA,30.9,25.2,64.0,30.07,6.0,5.8,0.0
3,MN,27.0,18.7,81.0,30.02,3.0,8.1,0.0
3,MN,28.9,20.4,78.0,30.03,7.0,9.2,0.0
2,NY,30.0,22.4,92.0,30.11,1.0,8.1,0.0
3,PA,32.0,24.2,96.0,30.24,7.0,9.2,0.0
1,AL,42.1,40.2,79.0,30.48,9.0,3.5,0.01
2,AL,45.0,41.2,86.0,30.4,10.0,6.9,0.01
2,NC,39.9,35.8,83.0,30.45,5.0,5.8,0.01
3,GA,34.0,27.2,92.0,30.04,6.0,8.1,0.02
3,GA,37.0,27.4,89.0,29.96,2.5,17.3,0.0
2,NC,30.0,22.4,92.0,30.13,0.5,8.1,0.12
2,SC,37.0,32.4,100.0,30.0,5.0,5.8,0.01
3,GA,39.0,36.8,96.0,30.11,6.0,3.5,0.0
3,UT,28.9,23.9,96.0,30.08,0.8,4.6,0.05
2,NY,35.1,26.4,67.0,30.41,10.0,12.7,0.0
2,TX,37.0,26.7,100.0,29.95,5.0,19.6,0.13
2,MI,36.0,33.3,97.0,30.21,1.5,3.5,0.06
2,NC,44.1,38.6,96.0,30.24,2.5,10.4,0.06
2,NC,46.0,41.0,96.0,30.18,1.0,10.4,0.06
3,GA,46.0,39.6,93.0,30.06,0.5,15.0,0.01
2,CT,39.0,32.3,89.0,29.83,2.0,10.4,0.01
3,NY,36.0,26.7,73.0,29.91,9.0,15.0,0.01
2,KY,45.0,40.6,86.0,29.43,10.0,8.1,0.0
2,GA,45.0,37.9,90.0,29.41,5.0,16.1,0.03
2,IL,35.1,24.8,89.0,29.62,6.0,17.3,0.0
2,MA,46.4,41.5,87.0,29.27,2.0,10.4,0.01
2,NC,46.0,41.9,96.0,30.23,2.0,8.1,0.01
3,MN,35.6,30.7,100.0,29.48,5.0,5.8,0.03
2,NH,33.1,28.7,92.0,30.3,4.0,4.6,0.02
2,NH,33.1,30.0,100.0,30.32,2.5,3.5,0.09
2,TX,39.0,33.4,86.0,29.91,10.0,8.1,0.0
