Start_Time,State,Day
1,AL,547
1,AR,18
1,AZ,1370
1,CA,7104
1,CO,705
1,CT,361
1,DC,58
1,DE,44
1,FL,3466
1,GA,1265
1,IA,118
1,ID,4
1,IL,1230
1,IN,879
1,KS,174
1,KY,367
1,LA,1156
1,MA,626
1,MD,567
1,ME,37
1,MI,1471
1,MN,1317
1,MO,467
1,MS,169
1,MT,20
1,NC,3461
1,NE,404
1,NH,131
1,NJ,805
1,NM,129
1,NV,98
1,NY,2007
1,OH,801
1,OK,1245
1,OR,405
1,PA,1188
1,RI,202
1,SC,3469
1,SD,2
1,TN,1296
1,TX,4676
1,UT,371
1,VA,1271
1,VT,11
1,WA,733
1,WI,275
1,WV,30
1,WY,7
2,AL,512
2,AR,37
2,AZ,1216
2,CA,7558
2,CO,882
2,CT,386
2,DC,79
2,DE,79
2,FL,3649
2,GA,1306
2,IA,253
2,ID,19
2,IL,1337
2,IN,766
2,KS,168
2,KY,447
2,LA,1116
2,MA,587
2,MD,688
2,ME,19
2,MI,1531
2,MN,1293
2,MO,556
2,MS,198
2,MT,48
2,NC,3917
2,ND,1
2,NE,416
2,NH,192
2,NJ,823
2,NM,169
2,NV,182
2,NY,1684
2,OH,809
2,OK,1135
2,OR,526
2,PA,1068
2,RI,166
2,SC,3877
2,TN,1408
2,TX,5632
2,UT,683
2,VA,1264
2,VT,17
2,WA,846
2,WI,283
2,WV,29
2,WY,9
3,AL,876
3,AR,19
3,AZ,1249
3,CA,10519
3,CO,851
3,CT,395
3,DC,69
3,DE,131
3,FL,4119
3,GA,1500
3,IA,156
3,ID,29
3,IL,1485
3,IN,694
3,KS,192
3,KY,498
3,LA,1545
3,MA,493
3,MD,836
3,ME,19
3,MI,1389
3,MN,1183
3,MO,675
3,MS,176
3,MT,4
3,NC,3470
3,NE,337
3,NH,140
3,NJ,1134
3,NM,173
3,NV,143
3,NY,2109
3,OH,876
3,OK,1388
3,OR,609
3,PA,1379
3,RI,155
3,SC,4437
3,TN,1472
3,TX,5697
3,UT,467
3,VA,1471
3,VT,15
3,WA,1061
3,WI,269
3,WV,32
3,WY,11
4,AL,904
4,AR,36
4,AZ,1431
4,CA,10723
4,CO,820
4,CT,470
4,DC,79
4,DE,92
4,FL,4334
4,GA,1507
4,IA,201
4,ID,26
4,IL,1219
4,IN,874
4,KS,167
4,KY,539
4,LA,1879
4,MA,534
4,MD,708
4,ME,37
4,MI,1613
4,MN,1374
4,MO,617
4,MS,183
4,MT,11
4,NC,4671
4,NE,380
4,NH,125
