State,Day,Night
AL,851,801
AR,53,27
AZ,1190,717
CA,4452,3130
CO,749,553
CT,285,224
DC,31,38
DE,121,44
FL,3419,1885
GA,1307,895
IA,100,115
ID,11,19
IL,770,733
IN,373,348
KS,61,94
KY,330,224
LA,1085,380
MA,357,344
MD,486,427
ME,28,23
MI,755,701
MN,992,905
MO,321,328
MS,185,62
MT,8,6
NC,3223,970
NE,296,208
NH,111,85
NJ,653,535
NM,105,59
NV,116,141
NY,1576,1401
OH,777,776
OK,945,623
OR,2009,2165
PA,974,644
RI,122,102
SC,2525,1558
SD,2,1
TN,1140,619
TX,4519,2493
UT,1355,1231
VA,1426,1251
VT,15,7
WA,645,907
WI,269,195
WV,44,31
WY,15,1
