State,Severity,End_Time,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
RI,3,5,37.9,32.1,10.0,0.0
MD,3,6,41.0,36.4,5.0,0.01
MO,3,1,30.9,21.2,10.0,0.0
IL,2,1,33.1,23.9,3.0,0.0
IN,2,2,33.1,25.5,5.0,0.02
KY,2,3,30.0,22.4,10.0,0.0
MN,2,3,27.0,20.5,5.0,0.0
MI,3,4,28.0,18.1,2.5,0.0
NY,3,5,24.1,15.2,10.0,0.0
AL,2,6,45.9,39.7,6.0,0.13
VA,3,7,30.0,22.4,0.5,0.04
WA,2,7,43.0,38.2,6.0,0.06
NC,3,1,30.0,23.2,0.5,0.12
NC,2,1,30.0,21.7,1.5,0.17
SC,2,1,35.6,29.9,10.0,0.01
SC,3,1,41.0,38.0,2.0,0.03
MI,3,3,33.1,30.0,0.8,0.0
IN,3,4,41.4,36.2,2.0,0.01
OK,2,4,39.9,29.0,6.0,0.09
NC,2,5,43.0,37.7,2.5,0.04
IN,3,6,36.5,27.4,10.0,0.01
NY,2,7,41.0,31.9,4.0,0.0
NY,3,7,37.9,32.1,3.0,0.01
VA,3,4,42.1,38.4,1.5,0.0
TN,3,5,44.1,39.0,3.0,0.15
AL,2,5,41.7,35.6,5.0,0.01
IN,3,4,46.0,40.6,10.0,0.01
MN,2,4,36.0,27.5,5.0,0.02
IL,2,5,32.0,25.6,5.0,0.0
UT,2,5,19.9,9.3,1.8,0.0
TX,2,5,37.0,33.3,7.0,0.0
TX,2,5,39.0,34.8,8.0,0.01
CT,3,1,42.8,37.5,6.0,0.06
NJ,2,1,43.0,38.8,7.0,0.01
PA,3,1,42.1,39.2,2.0,0.07
CO,2,1,12.0,-4.0,0.9,0.0
IN,2,4,42.1,34.5,9.0,0.01
MN,3,7,37.0,30.4,8.0,0.01
MN,3,1,44.1,39.5,5.0,0.02
NE,3,1,43.0,36.8,10.0,0.02
MN,2,2,27.0,17.3,4.0,0.0
MN,2,3,32.0,20.5,6.0,0.0
MN,2,3,30.9,20.2,10.0,0.0
NE,2,4,34.0,31.0,10.0,0.0
OK,2,4,44.1,38.1,10.0,0.02
NY,2,5,33.1,25.5,0.8,0.01
WI,2,5,21.9,11.0,6.0,0.0
WI,2,5,28.9,22.8,0.8,0.0
TN,2,5,42.1,38.4,2.5,0.18
MN,2,7,17.1,10.0,4.0,0.0
TX,3,1,46.0,42.5,6.0,0.05
MI,3,2,28.0,19.3,8.0,0.0
NJ,2,2,45.0,41.2,3.0,0.13
NY,2,3,26.1,19.4,2.0,0.0
KY,3,3,34.0,25.0,10.0,0.0
NC,2,3,45.0,40.1,7.0,0.0
NC,2,3,44.1,40.1,10.0,0.0
SC,2,3,46.0,40.2,10.0,0.0
NY,2,4,32.0,20.8,0.5,0.07
PA,3,4,30.9,21.7,5.0,0.05
VA,3,4,32.0,24.2,4.0,0.05
NC,3,4,41.0,33.1,1.5,0.13
NC,2,4,42.1,37.1,2.0,0.13
NC,2,4,39.9,35.1,3.0,0.0
IL,2,4,27.0,20.5,1.0,0.05
IL,2,4,28.0,22.8,0.2,0.01
MO,3,4,28.0,21.7,0.5,0.03
MA,2,5,36.0,30.3,10.0,0.0
NY,2,5,33.1,19.6,1.5,0.01
