State,End_Time,Severity,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
OH,5,2,34.0,31.0,2.0,0.01
UT,5,3,44.1,42.5,10.0,0.0
IA,6,3,37.9,28.9,10.0,0.04
MN,7,2,30.2,16.5,2.5,0.0
MN,7,2,32.0,20.1,6.0,0.0
MO,7,3,36.0,26.3,10.0,0.01
MI,1,2,33.1,26.1,4.0,0.0
OH,1,2,39.9,33.9,10.0,0.0
OH,1,2,37.9,32.1,10.0,0.0
MO,1,3,30.9,21.2,10.0,0.0
MO,1,2,30.9,21.2,10.0,0.0
IL,1,2,32.0,23.6,2.0,0.0
IL,2,2,30.9,23.5,10.0,0.0
MI,3,2,27.0,16.7,4.0,0.0
NY,3,2,30.9,23.5,9.0,0.0
NJ,3,2,32.0,26.4,10.0,0.0
IN,3,3,28.0,19.3,3.0,0.0
KY,3,3,30.9,22.2,9.0,0.0
OH,3,2,30.0,20.0,10.0,0.0
UT,3,3,25.0,19.3,6.0,0.0
NY,4,3,30.9,22.2,10.0,0.0
OH,4,2,35.1,28.6,1.8,0.02
OH,4,2,33.4,25.9,3.0,0.0
TX,4,2,46.4,44.3,2.5,0.02
NY,5,3,21.9,17.2,10.0,0.0
LA,5,3,46.0,39.9,4.0,0.22
TX,5,2,45.0,40.1,2.5,0.0
TX,5,2,45.0,41.2,5.0,0.05
AL,5,3,42.1,40.2,9.0,0.01
TN,5,3,42.1,40.2,10.0,0.0
SC,6,2,37.0,31.6,3.0,0.06
SC,6,3,33.1,27.7,1.8,0.02
SC,6,2,44.1,41.5,8.0,0.01
GA,6,3,39.9,35.1,6.0,0.03
GA,6,3,39.0,31.8,9.0,0.11
TX,6,2,42.1,36.1,4.0,0.01
TN,6,3,39.0,30.3,7.0,0.03
VA,7,3,30.0,20.5,0.5,0.1
GA,7,3,36.0,27.1,10.0,0.06
SC,7,3,32.0,27.5,5.0,0.05
SC,7,3,44.1,35.9,6.0,0.0
GA,7,3,37.0,27.4,2.5,0.0
NY,1,2,30.0,23.2,8.0,0.0
NC,1,2,31.1,20.9,7.0,0.02
NC,1,2,35.1,26.4,5.0,0.02
SC,1,3,41.0,38.0,2.0,0.03
SC,1,2,37.9,34.4,10.0,0.0
AL,1,2,37.9,31.5,10.0,0.0
WA,2,3,42.3,40.5,10.0,0.02
MI,3,2,30.9,20.2,4.0,0.0
UT,3,2,33.8,27.7,4.0,0.0
UT,3,2,28.9,19.2,0.8,0.01
OK,4,2,40.6,30.0,9.0,0.09
OK,4,2,41.0,30.7,7.0,0.01
OK,4,2,41.0,30.7,7.0,0.01
OK,4,2,39.2,28.3,9.0,0.05
MI,5,2,35.1,31.0,1.2,0.03
NC,5,2,43.0,37.7,6.0,0.01
SC,5,3,41.0,34.3,7.0,0.01
NC,5,2,46.0,41.9,2.0,0.01
NC,5,2,43.0,38.8,2.0,0.01
VA,5,2,42.1,39.2,2.0,0.02
VA,5,2,42.1,37.7,4.0,0.01
GA,5,3,46.0,40.6,9.0,0.03
SC,5,3,44.1,37.1,4.0,0.02
NY,7,3,33.8,29.6,2.0,0.07
NY,7,3,41.0,35.2,2.0,0.02
MD,7,3,43.0,36.8,1.2,0.02
CT,1,2,42.1,34.9,10.0,0.0
WA,1,3,46.0,41.9,10.0,0.02
NY,2,2,25.0,13.6,10.0,0.0
VA,4,2,45.0,43.5,5.0,0.14
KY,5,2,45.0,40.6,10.0,0.0
IN,5,2,41.0,32.8,8.0,0.01
