P1	P2	A	D
-2.366919075537967376e-01	-3.375799677223405015e-01	2.000000000000000000e+00	5.000000000000000000e+00
-2.192586721823309048e+00	-1.159070887296255847e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.074057209637953925e+00	-1.491851607628486454e+00	3.000000000000000000e+00	6.000000000000000000e+00
6.621923157124638415e-01	-1.050384488814458450e+00	2.000000000000000000e+00	7.000000000000000000e+00
4.844337485162419216e-02	-8.689361002446425175e-01	2.000000000000000000e+00	7.000000000000000000e+00
-8.534420624787962817e-01	-1.877901278468886881e+00	3.000000000000000000e+00	7.000000000000000000e+00
1.902182203462008947e-01	1.301249057183981206e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.218779256384608933e+00	1.601009796171594113e+00	2.000000000000000000e+00	1.000000000000000000e+00
-9.761915648633544551e-01	1.608213767673536632e+00	2.000000000000000000e+00	1.000000000000000000e+00
1.797023191424257371e-01	4.259380479258889074e-01	3.000000000000000000e+00	1.000000000000000000e+00
1.241959169408119734e-01	1.639022854777286042e+00	2.000000000000000000e+00	1.000000000000000000e+00
5.702797838558374410e-01	1.198282021863702251e+00	2.000000000000000000e+00	1.000000000000000000e+00
-6.560161296851048374e-02	1.254724072923125711e+00	2.000000000000000000e+00	2.000000000000000000e+00
1.015477158404966218e+00	5.649747022234439253e-01	2.000000000000000000e+00	3.000000000000000000e+00
-4.766568988130475554e-02	8.188399342193874997e-01	2.000000000000000000e+00	3.000000000000000000e+00
-3.675139125673245744e-01	8.669374812799213181e-01	2.000000000000000000e+00	3.000000000000000000e+00
9.388748535122417582e-01	-7.081628270954163362e-01	3.000000000000000000e+00	3.000000000000000000e+00
7.886891447763662299e-02	-3.926636241752626266e-01	3.000000000000000000e+00	3.000000000000000000e+00
1.264043404337048537e-01	8.797366396288148760e-01	2.000000000000000000e+00	3.000000000000000000e+00
9.090317618512906428e-01	-5.374921504335092859e-01	3.000000000000000000e+00	3.000000000000000000e+00
-6.733150694843885453e-02	-7.197818623328937626e-01	3.000000000000000000e+00	4.000000000000000000e+00
-1.062369210231560585e-01	3.736412321719106977e-02	2.000000000000000000e+00	4.000000000000000000e+00
6.918091830015175858e-02	1.018536280279441764e-01	2.000000000000000000e+00	4.000000000000000000e+00
-1.836448143259448385e+00	2.800336175634570227e-02	2.000000000000000000e+00	4.000000000000000000e+00
7.908059121218371512e-01	-1.072635848401696679e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.736672175800588080e+00	-1.395488031103839566e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.566361271034664160e+00	-3.531955273254318017e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.841069303858619444e+00	-1.977847938446131437e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.842499681902440622e+00	-1.201483426131681798e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.922680491010772874e+00	-1.151258743310945354e+00	3.000000000000000000e+00	5.000000000000000000e+00
-6.414728169799185364e-01	-6.521585014411700465e-01	2.000000000000000000e+00	6.000000000000000000e+00
