Start_Time,State,Night
1,AL,214
1,AR,5
1,AZ,797
1,CA,5260
1,CO,434
1,CT,234
1,DC,50
1,DE,53
1,FL,1669
1,GA,757
1,IA,90
1,ID,4
1,IL,1076
1,IN,771
1,KS,88
1,KY,317
1,LA,363
1,MA,373
1,MD,495
1,ME,17
1,MI,1301
1,MN,928
1,MO,303
1,MS,29
1,MT,6
1,NC,1666
1,NE,208
1,NH,106
1,NJ,461
1,NM,25
1,NV,58
1,NY,1369
1,OH,688
1,OK,537
1,OR,350
1,PA,742
1,RI,90
1,SC,1687
1,SD,3
1,TN,556
1,TX,1960
1,UT,267
1,VA,958
1,VT,8
1,WA,813
1,WI,234
1,WV,15
1,WY,6
2,AL,216
2,AR,20
2,AZ,506
2,CA,3931
2,CO,265
2,CT,142
2,DC,45
2,DE,55
2,FL,1274
2,GA,639
2,IA,117
2,ID,11
2,IL,795
2,IN,440
2,KS,40
2,KY,283
2,LA,345
2,MA,256
2,MD,344
2,ME,12
2,MI,905
2,MN,572
2,MO,254
2,MS,38
2,MT,9
2,NC,1151
2,NE,137
2,NH,70
2,NJ,428
2,NM,28
2,NV,76
2,NY,956
2,OH,453
2,OK,425
2,OR,275
2,PA,480
2,RI,63
2,SC,1291
2,TN,555
2,TX,2130
2,UT,268
2,VA,593
2,VT,5
2,WA,536
2,WI,147
2,WV,11
2,WY,4
3,AL,227
3,AR,12
3,AZ,385
3,CA,4307
3,CO,235
3,CT,88
3,DC,17
3,DE,67
3,FL,1459
3,GA,539
3,IA,37
3,ID,16
3,IL,473
3,IN,337
3,KS,34
3,KY,220
3,LA,340
3,MA,125
3,MD,306
3,ME,5
3,MI,698
3,MN,358
3,MO,173
3,MS,21
3,NC,851
3,NE,91
3,NH,45
3,NJ,351
3,NM,19
3,NV,60
3,NY,916
3,OH,346
3,OK,333
3,OR,197
3,PA,499
3,RI,47
3,SC,1035
3,TN,451
3,TX,1559
3,UT,137
3,VA,495
3,VT,5
3,WA,435
3,WI,106
3,WV,8
3,WY,5
4,AL,145
4,AR,16
4,AZ,275
4,CA,3046
4,CO,135
4,CT,85
4,DC,14
4,DE,26
4,FL,1161
4,GA,396
4,IA,30
4,ID,5
4,IL,346
4,IN,226
4,KS,17
4,KY,83
4,LA,219
4,MA,57
4,MD,189
4,ME,2
4,MI,444
4,MN,400
4,MO,124
4,MS,9
4,MT,2
4,NC,695
4,NE,65
4,NH,12
4,NJ,172
4,NM,8
4,NV,37
4,NY,515
4,OH,215
4,OK,304
4,OR,84
4,PA,309
4,RI,13
4,SC,872
4,TN,335
4,TX,1124
4,UT,107
4,VA,294
4,WA,291
4,WI,67
4,WV,12
4,WY,4
5,AL,107
5,AR,10
5,AZ,226
5,CA,2791
5,CO,123
5,CT,53
5,DC,14
5,DE,25
5,FL,962
5,GA,228
5,IA,20
5,ID,2
5,IL,260
5,IN,129
5,KS,11
5,KY,52
5,LA,141
5,MA,32
5,MD,89
5,ME,4
5,MI,354
5,MN,129
5,MO,94
5,MS,5
5,MT,2
5,NC,609
5,ND,1
5,NE,31
5,NH,19
5,NJ,151
5,NM,7
5,NV,19
5,NY,449
5,OH,142
5,OK,283
5,OR,92
5,PA,183
5,RI,5
5,SC,506
5,TN,217
5,TX,934
5,UT,66
5,VA,196
5,WA,268
5,WI,43
5,WV,5
5,WY,1
6,AL,86
6,AR,6
6,AZ,233
6,CA,2446
6,CO,100
6,CT,52
6,DC,8
6,DE,11
6,FL,740
6,GA,196
6,IA,24
6,ID,1
6,IL,226
6,IN,113
6,KS,6
6,KY,73
6,LA,107
6,MA,44
6,MD,83
6,ME,4
6,MI,235
6,MN,130
6,MO,70
6,MS,8
6,NC,355
6,NE,22
6,NH,16
6,NJ,170
6,NM,9
6,NV,12
6,NY,440
6,OH,184
6,OK,173
6,OR,69
6,PA,145
6,RI,10
6,SC,424
6,TN,235
6,TX,852
6,UT,56
6,VA,177
6,VT,1
6,WA,253
6,WI,31
6,WV,15
6,WY,3
7,AL,66
7,AR,4
7,AZ,268
7,CA,2877
7,CO,107
7,CT,39
7,DC,11
7,DE,19
7,FL,839
7,GA,231
7,IA,8
7,ID,5
7,IL,231
7,IN,114
7,KS,14
7,KY,80
7,LA,119
7,MA,19
7,MD,88
7,ME,2
7,MI,253
7,MN,81
7,MO,64
7,MS,4
7,NC,331
7,NE,26
7,NH,18
7,NJ,167
7,NM,5
7,NV,27
7,NY,397
7,OH,122
7,OK,217
7,OR,93
7,PA,146
7,RI,14
7,SC,425
7,TN,200
7,TX,916
7,UT,54
7,VA,253
7,WA,232
7,WI,37
7,WV,19
7,WY,2
8,AL,122
8,AR,1
8,AZ,386
8,CA,3434
8,CO,173
8,CT,48
8,DC,7
8,DE,21
8,FL,1179
8,GA,411
8,IA,11
8,ID,6
8,IL,345
8,IN,160
8,KS,18
8,KY,120
8,LA,163
8,MA,38
8,MD,125
8,ME,11
8,MI,299
8,MN,176
8,MO,109
8,MS,13
8,NC,418
8,NE,48
8,NH,18
8,NJ,158
8,NM,15
8,NV,26
8,NY,514
8,OH,198
8,OK,265
8,OR,627
8,PA,212
8,RI,9
8,SC,634
8,TN,293
8,TX,1129
8,UT,105
8,VA,260
8,VT,1
8,WA,305
8,WI,40
8,WV,5
8,WY,3
9,AL,194
9,AR,9
9,AZ,406
9,CA,3698
9,CO,228
9,CT,92
9,DC,19
9,DE,11
9,FL,1213
9,GA,436
9,IA,8
9,ID,5
9,IL,387
9,IN,267
9,KS,49
9,KY,134
9,LA,193
9,MA,142
9,MD,220
9,ME,18
9,MI,429
9,MN,265
9,MO,155
9,MS,23
9,NC,715
9,NE,70
9,NH,37
9,NJ,250
9,NM,17
9,NV,42
9,NY,775
