Severity,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,WA,34.0,31.0,92.0,30.45,10.0,3.5,
2,MA,41.0,35.8,57.0,30.04,10.0,8.1,
2,DE,35.1,,70.0,30.07,10.0,,
2,NY,39.9,35.1,68.0,30.06,10.0,6.9,0.0
3,IN,46.9,,83.0,29.99,2.5,4.6,
2,NC,53.1,,71.0,30.06,10.0,9.2,
3,NC,51.8,,76.0,30.08,10.0,5.8,
2,NC,59.0,,81.0,30.05,6.0,8.1,0.0
2,NC,66.9,,59.0,29.99,10.0,12.7,
2,NC,62.6,,66.0,30.04,10.0,5.8,
2,SC,48.0,,100.0,30.11,4.0,9.2,0.06
2,SC,60.8,,59.0,30.07,10.0,6.9,
3,FL,41.0,,96.0,30.19,8.0,,
3,MO,52.0,,77.0,29.9,8.0,6.9,
2,WI,26.2,,93.0,29.94,3.0,,
3,IL,34.0,31.0,85.0,30.09,5.0,3.5,
2,LA,75.9,,79.0,29.95,10.0,9.2,
2,TX,68.0,,81.0,29.73,10.0,12.7,
2,OK,64.0,,80.0,29.49,10.0,12.7,
2,TX,69.8,,78.0,29.58,10.0,12.7,
3,LA,,,,,,,
3,AL,57.0,,89.0,30.06,10.0,8.1,0.03
3,AL,60.1,,100.0,29.97,4.0,5.8,0.04
2,TN,63.0,,90.0,29.94,10.0,6.9,
2,TX,77.0,,71.0,29.79,10.0,12.7,
2,CA,52.0,,86.0,29.72,10.0,10.4,
2,CA,42.8,,100.0,29.91,0.2,,
2,CA,64.9,,52.0,29.94,10.0,11.5,
3,VA,41.0,,86.0,30.18,2.0,,0.03
2,NC,57.9,,81.0,30.1,10.0,4.6,
3,GA,48.0,,100.0,30.01,2.0,6.9,0.13
3,GA,53.6,,100.0,29.82,1.5,8.1,
3,GA,,,,29.83,4.0,3.5,
3,MN,32.0,21.6,91.0,29.64,4.0,15.0,
2,TN,62.1,,78.0,29.54,10.0,15.0,
2,AZ,45.7,43.4,100.0,29.92,10.0,4.6,
2,AZ,60.8,,55.0,29.92,45.0,3.5,
3,AZ,57.0,,49.0,29.84,10.0,11.5,
2,WA,43.0,39.5,82.0,29.8,10.0,5.8,
3,WA,34.0,,100.0,29.81,5.0,,
3,OR,42.1,38.4,89.0,29.81,10.0,5.8,
2,CA,53.6,,72.0,29.98,10.0,9.2,
3,CA,66.0,,34.0,29.99,10.0,6.9,
3,MN,30.9,18.4,82.0,29.72,10.0,20.7,
2,MN,30.2,19.8,83.0,29.75,10.0,13.8,
3,TX,70.0,,31.0,29.8,10.0,11.5,
2,TX,51.1,,52.0,29.89,10.0,11.5,
2,UT,,,,,,,
3,MA,44.1,40.8,89.0,29.54,0.2,5.8,
3,NY,50.0,,93.0,29.58,10.0,3.5,
2,NJ,52.0,,89.0,29.6,10.0,10.4,
2,NY,55.0,,64.0,29.63,10.0,15.0,
3,NY,51.1,,74.0,29.62,10.0,6.9,
2,PA,42.8,34.8,66.0,29.78,20.0,17.3,
3,MD,44.6,41.4,93.0,29.72,10.0,5.8,
3,MD,51.6,,83.0,29.69,10.0,5.8,
3,MD,54.0,,55.0,29.76,,,
2,OH,39.0,31.4,82.0,29.91,10.0,12.7,
2,NC,57.2,,67.0,29.89,10.0,5.8,
2,NC,62.6,,45.0,29.88,10.0,6.9,
2,SC,64.9,,40.0,29.82,10.0,5.8,
2,VA,55.9,,77.0,29.83,10.0,4.6,
2,NC,64.9,,56.0,29.81,10.0,5.8,
3,FL,69.1,,96.0,29.93,10.0,9.2,0.04
3,SC,66.0,,87.0,29.89,8.0,4.6,0.0
