State,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
CA,3,46.4,,20.0,29.93,10.0,,
NY,2,30.9,27.5,82.0,30.0,10.0,3.5,
MA,3,25.0,,85.0,30.06,10.0,,
MI,3,30.2,,93.0,30.12,3.0,,
CT,2,28.9,25.2,92.0,30.06,10.0,3.5,
NH,2,32.0,28.7,82.0,30.01,10.0,3.5,
NY,3,34.0,,85.0,30.06,9.0,,0.0
NJ,2,43.0,39.5,58.0,30.02,10.0,5.8,0.0
NY,2,37.9,35.5,79.0,30.01,10.0,3.5,0.0
NY,3,39.9,33.9,79.0,30.06,10.0,9.2,0.0
PA,2,39.0,36.8,62.0,30.03,10.0,3.5,0.0
IN,3,39.4,,100.0,30.0,2.0,,
OH,2,46.2,42.7,86.0,30.03,7.0,6.9,
OH,2,39.9,35.8,93.0,30.06,6.0,5.8,
OH,3,42.6,,96.0,30.06,4.0,,
OH,2,42.1,38.4,89.0,30.08,3.0,5.8,
OH,2,44.1,42.5,89.0,30.06,4.0,3.5,
NC,2,53.1,,71.0,30.06,10.0,9.2,
NC,2,62.6,,68.0,30.05,10.0,16.1,
SC,2,61.0,,70.0,30.02,10.0,8.1,0.0
NC,2,60.1,,75.0,30.03,10.0,12.7,
NC,3,60.8,,72.0,30.06,10.0,6.9,
VA,3,57.9,,78.0,30.01,10.0,8.1,
VA,2,51.8,,97.0,30.05,10.0,9.2,
NC,2,66.0,,63.0,30.0,10.0,16.1,
VA,3,45.0,,90.0,30.05,10.0,,
VA,2,45.0,,86.0,30.08,10.0,,
FL,2,75.0,,57.0,30.16,10.0,11.5,
FL,2,75.0,,57.0,30.09,10.0,9.2,
GA,2,51.1,,92.0,30.1,10.0,5.8,0.0
GA,2,52.0,,86.0,30.11,10.0,9.2,
SC,2,59.0,,59.0,30.16,10.0,10.4,
GA,3,68.0,,56.0,30.01,10.0,4.6,
SC,2,55.9,,87.0,30.09,10.0,3.5,
SC,2,54.0,,90.0,30.08,10.0,4.6,
SC,2,54.0,,75.0,30.1,10.0,,
SC,2,57.2,,77.0,30.09,10.0,3.5,
SC,2,37.4,,100.0,30.17,7.0,,
SC,2,62.6,,42.0,30.11,10.0,8.1,
MN,3,30.0,23.2,96.0,30.05,5.0,6.9,
NE,2,39.0,,82.0,29.91,5.0,,
MN,2,30.9,,85.0,30.05,3.0,,
KS,3,42.1,35.7,85.0,29.84,6.0,11.5,
IL,2,25.0,,96.0,30.01,3.0,,
IL,3,34.0,31.0,85.0,30.09,5.0,3.5,
TX,2,64.9,,97.0,29.79,3.0,6.9,0.0
TX,2,68.0,,87.0,29.79,10.0,8.1,0.0
LA,2,75.9,,79.0,29.95,10.0,9.2,
TX,2,66.9,,90.0,29.79,9.0,6.9,
OK,2,60.1,,86.0,29.69,5.0,15.0,
TX,2,71.6,,78.0,29.7,10.0,12.7,
TX,2,73.0,,73.0,29.66,10.0,8.1,
TX,2,75.9,,67.0,29.63,10.0,5.8,
OK,2,64.0,,78.0,29.52,10.0,12.7,
TX,2,77.0,,64.0,29.59,10.0,12.7,
TX,2,75.0,,66.0,29.59,10.0,10.4,
OK,3,64.4,,88.0,29.45,7.0,18.4,
OK,2,55.0,,83.0,29.48,1.8,6.9,0.09
OK,2,60.8,,88.0,29.42,10.0,10.4,
LA,2,77.0,,58.0,29.85,10.0,16.1,
LA,2,72.0,,81.0,29.82,10.0,12.7,0.0
LA,2,72.0,,81.0,29.82,10.0,12.7,0.0
AL,3,64.9,,87.0,30.06,7.0,8.1,
AL,3,68.0,,93.0,29.89,10.0,15.0,0.0
TX,2,69.8,,78.0,29.58,10.0,12.7,
TN,3,66.0,,93.0,29.91,9.0,9.2,
TN,2,64.4,,94.0,29.92,8.0,13.8,
LA,3,71.1,,75.0,29.86,10.0,11.5,
TN,2,63.0,,90.0,29.98,10.0,6.9,0.01
FL,2,72.0,,74.0,30.02,10.0,9.2,0.0
OK,2,37.9,34.4,100.0,29.83,3.0,4.6,
TX,2,75.0,,84.0,29.84,10.0,15.0,
TX,2,77.0,,71.0,29.79,10.0,12.7,
UT,2,33.1,,100.0,29.76,10.0,,
AZ,2,64.0,,52.0,29.82,10.0,9.2,
AZ,2,57.0,,64.0,29.88,10.0,,
TX,2,59.0,,38.0,29.67,8.0,29.9,
WA,3,33.1,26.9,92.0,29.78,0.5,6.9,0.09
WA,3,44.6,40.7,100.0,29.74,10.0,6.9,
NV,3,43.0,37.7,58.0,29.83,10.0,9.2,
CA,2,53.1,,74.0,29.91,10.0,13.8,
CA,2,57.2,,63.0,30.06,10.0,4.6,
CA,3,63.0,,41.0,30.01,10.0,10.4,
CA,2,51.8,,76.0,30.12,10.0,6.9,
CA,3,57.0,,89.0,29.8,8.0,,0.0
CA,2,57.0,,74.0,29.78,10.0,4.6,
CA,3,54.5,,80.0,29.84,10.0,,
CA,3,66.0,,60.0,30.0,10.0,13.8,
CA,3,62.6,,55.0,29.95,10.0,4.6,
CA,3,62.6,,45.0,29.94,7.0,9.2,
CA,3,57.9,,65.0,29.96,10.0,,
MI,3,42.1,34.5,96.0,29.51,2.5,15.0,0.12
NY,3,46.9,,59.0,30.19,9.0,3.5,
KY,3,55.9,,90.0,29.73,1.5,8.1,0.23
OH,3,46.9,,97.0,29.79,3.0,3.5,0.16
NC,2,54.0,,90.0,30.04,5.0,8.1,0.02
NC,2,46.6,,97.0,30.12,1.8,6.9,
FL,3,82.9,,60.0,29.99,10.0,15.0,
GA,3,51.8,,94.0,29.97,3.0,3.5,0.18
FL,3,68.0,,96.0,29.88,10.0,12.7,
SC,3,68.0,,90.0,29.87,10.0,21.9,0.01
MN,3,30.2,16.5,100.0,29.51,0.2,24.2,0.01
MN,2,24.8,17.9,100.0,29.92,3.0,5.8,
IL,3,36.0,27.1,93.0,29.82,3.0,13.8,
