State,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
NJ,2,43.0,39.5,58.0,30.02,10.0,5.8,0.0
NY,2,37.9,35.5,79.0,30.01,10.0,3.5,0.0
NY,3,39.9,33.9,79.0,30.06,10.0,9.2,0.0
PA,2,39.0,36.8,62.0,30.03,10.0,3.5,0.0
WA,3,33.1,26.9,92.0,29.78,0.5,6.9,0.09
MI,3,42.1,34.5,96.0,29.51,2.5,15.0,0.12
MN,3,30.2,16.5,100.0,29.51,0.2,24.2,0.01
MO,3,36.0,27.1,86.0,29.64,10.0,13.8,0.0
UT,3,25.0,17.1,92.0,30.27,9.0,6.9,0.0
IN,2,30.9,27.5,79.0,30.16,10.0,3.5,0.0
NE,2,30.0,26.5,69.0,30.2,7.0,3.5,0.0
IA,2,23.0,15.8,85.0,30.32,9.0,5.8,0.0
OH,2,30.9,27.5,85.0,30.08,5.0,3.5,0.0
OH,2,30.0,21.7,85.0,30.11,6.0,9.2,0.0
IL,2,26.1,14.5,75.0,30.11,9.0,13.8,0.0
UT,2,24.1,17.0,96.0,30.24,6.0,5.8,0.01
NY,2,33.1,22.2,89.0,30.07,2.5,17.3,0.0
MI,2,30.9,23.5,82.0,30.06,8.0,8.1,0.0
NY,2,35.1,24.8,70.0,30.05,9.0,17.3,0.0
MN,2,18.0,5.4,71.0,30.37,6.0,11.5,0.0
GA,2,42.1,37.7,62.0,30.49,10.0,6.9,0.0
TX,3,46.0,41.4,93.0,30.29,7.0,9.2,0.0
AL,3,45.0,43.5,90.0,30.44,8.0,3.5,0.01
GA,3,41.0,33.1,89.0,30.27,4.0,15.0,0.06
AL,3,45.9,39.7,91.0,30.1,6.0,13.8,0.13
NC,3,32.0,20.5,92.0,30.15,1.5,18.4,0.09
SC,3,32.0,20.5,92.0,30.03,6.0,18.4,0.0
GA,3,41.9,37.5,99.0,29.99,6.0,6.9,0.17
AL,2,46.0,41.4,79.0,30.02,10.0,9.2,0.01
WA,2,44.1,38.6,79.0,30.17,7.0,10.4,0.06
NY,2,30.0,23.2,82.0,30.22,7.0,6.9,0.0
NC,2,39.0,34.0,76.0,30.09,10.0,6.9,0.0
NC,2,30.0,23.2,92.0,30.12,0.5,6.9,0.12
SC,2,39.9,35.1,97.0,29.93,2.5,6.9,0.01
SC,2,41.0,38.0,82.0,30.1,10.0,4.6,0.0
SC,2,41.0,38.0,100.0,30.12,2.0,4.6,0.03
SC,2,37.9,32.7,100.0,30.09,10.0,6.9,0.0
AL,2,39.0,34.0,89.0,30.24,7.0,6.9,0.0
MI,2,33.1,27.7,92.0,29.89,2.5,5.8,0.0
NY,2,23.0,14.7,74.0,30.47,1.0,6.9,0.0
NY,3,24.1,18.2,77.0,30.48,1.0,4.6,0.01
NY,2,25.0,18.1,81.0,30.46,1.8,5.8,0.01
NY,3,28.9,22.8,89.0,30.5,4.0,5.8,0.0
NY,3,34.0,27.2,92.0,30.5,8.0,8.1,0.0
IN,2,45.0,40.6,90.0,30.09,6.0,8.1,0.01
OK,2,41.0,30.9,93.0,29.86,8.0,24.2,0.06
OK,2,39.9,29.7,93.0,29.91,5.0,23.0,0.05
OK,2,39.9,31.8,97.0,29.86,2.5,15.0,0.16
NC,2,43.0,38.2,93.0,30.25,2.5,8.1,0.01
NC,2,43.0,37.7,97.0,30.26,2.5,9.2,0.04
NC,2,41.4,37.6,99.0,30.29,7.0,5.8,0.05
NC,2,46.0,41.0,96.0,30.18,1.0,10.4,0.06
NC,3,44.1,38.1,100.0,30.13,3.0,11.5,0.01
NC,2,43.0,37.7,97.0,30.07,1.5,9.2,0.01
NC,2,43.0,38.8,97.0,30.08,2.5,6.9,0.03
NC,3,39.9,36.7,89.0,30.34,10.0,4.6,0.0
NC,2,39.9,36.7,89.0,30.34,10.0,4.6,0.0
NC,2,45.7,43.4,100.0,30.12,3.0,4.6,0.07
VA,3,41.0,35.8,93.0,30.27,3.0,8.1,0.03
VA,2,41.2,39.2,100.0,30.25,2.0,3.5,0.01
SC,3,42.1,35.7,96.0,30.22,3.0,11.5,0.06
SC,2,45.0,37.9,93.0,30.16,2.0,16.1,0.0
SC,2,43.0,36.0,97.0,30.16,2.0,13.8,0.0
TX,2,43.0,34.5,93.0,29.87,3.0,19.6,0.0
TX,3,42.1,33.1,92.0,29.94,5.0,20.7,0.0
VT,3,36.0,28.5,82.0,30.09,10.0,10.4,0.0
NJ,3,39.0,32.3,89.0,29.82,10.0,10.4,0.03
MA,2,34.0,28.0,92.0,29.7,2.0,6.9,0.0
MA,3,34.0,26.6,89.0,29.65,2.0,9.2,0.01
NY,2,25.0,13.1,69.0,30.2,9.0,13.8,0.0
NY,3,21.9,9.8,72.0,30.18,9.0,12.7,0.0
MI,3,39.0,34.8,96.0,29.41,2.5,5.8,0.04
MI,2,37.9,32.1,97.0,29.43,7.0,8.1,0.01
MI,2,37.9,32.1,97.0,29.43,7.0,8.1,0.01
NY,2,45.0,41.2,100.0,29.33,5.0,6.9,0.01
IN,2,39.0,30.3,93.0,29.51,9.0,16.1,0.0
TN,3,46.0,42.5,93.0,29.42,5.0,6.9,0.09
GA,2,45.0,38.5,93.0,29.38,5.0,13.8,0.04
GA,3,45.0,39.3,90.0,29.49,10.0,11.5,0.0
TN,2,41.0,34.3,86.0,29.55,9.0,11.5,0.0
AL,2,41.0,33.1,93.0,29.59,5.0,15.0,0.01
MI,3,33.1,23.9,64.0,30.1,7.0,12.7,0.0
IN,3,46.0,40.6,86.0,29.89,10.0,11.5,0.01
MN,3,36.0,32.1,93.0,29.48,5.0,4.6,0.12
MN,3,32.0,26.4,98.0,29.5,1.2,5.8,0.04
MN,2,32.0,26.4,98.0,29.5,3.0,5.8,0.01
MA,3,37.9,31.5,86.0,30.31,10.0,9.2,0.01
UT,2,19.0,10.0,96.0,29.96,5.0,6.9,0.01
TX,2,39.0,33.4,86.0,29.91,10.0,8.1,0.0
WA,2,39.9,37.8,89.0,30.36,10.0,3.5,0.0
WA,3,39.9,35.8,86.0,30.37,10.0,5.8,0.01
NY,2,42.1,37.7,89.0,30.26,5.0,6.9,0.04
NJ,2,44.1,39.5,100.0,30.02,3.0,8.1,0.16
MO,3,42.1,38.4,96.0,29.69,1.5,5.8,0.27
IL,2,37.4,30.8,93.0,29.56,4.0,9.2,0.03
IL,2,37.9,30.0,93.0,29.57,2.5,12.7,0.09
IL,2,37.9,28.5,93.0,29.56,4.0,17.3,0.1
CO,3,11.3,-4.9,82.0,30.13,0.9,15.0,0.0
AZ,2,41.7,38.0,97.0,29.86,10.0,5.8,0.0
CA,2,37.0,29.3,86.0,29.91,1.5,11.5,0.01
MI,3,43.0,36.4,86.0,29.63,8.0,12.7,0.05
MI,2,43.0,36.8,82.0,29.69,7.0,11.5,0.0
OH,2,39.0,31.8,93.0,29.73,10.0,11.5,0.0
OH,2,45.0,41.8,80.0,29.85,10.0,5.8,0.0
IA,3,46.0,41.0,89.0,30.04,4.0,10.4,0.03
NE,3,43.3,38.6,91.0,29.65,10.0,8.1,0.01
NE,2,44.1,39.0,85.0,29.65,10.0,9.2,0.0
NE,2,46.0,40.2,89.0,29.54,2.0,12.7,0.0
MI,2,46.0,39.9,93.0,29.69,10.0,13.8,0.0
MN,3,33.1,22.6,82.0,29.81,10.0,16.1,0.0
MN,2,30.9,20.2,79.0,30.02,10.0,15.0,0.0
MN,3,25.0,20.7,81.0,30.37,3.0,3.5,0.0
OK,2,41.0,34.3,96.0,30.19,7.0,11.5,0.0
MI,2,32.0,24.8,92.0,30.11,2.0,8.1,0.01
NY,2,37.0,30.4,86.0,30.27,10.0,9.2,0.01
NY,2,34.0,25.5,100.0,29.97,3.0,11.5,0.06
PA,3,42.8,35.1,100.0,29.98,5.0,16.1,0.03
PA,3,39.2,33.6,100.0,29.95,2.0,8.1,0.07
VA,2,44.1,39.0,79.0,30.24,10.0,9.2,0.0
OH,2,37.0,31.6,96.0,30.01,2.5,6.9,0.01
OH,2,37.0,34.5,96.0,30.0,2.5,3.5,0.03
MN,2,19.0,6.8,74.0,30.23,1.8,11.5,0.0
WI,3,33.1,27.7,89.0,30.12,1.0,5.8,0.01
IL,2,33.1,24.9,89.0,30.13,0.8,10.4,0.01
TN,2,44.1,41.5,89.0,30.11,8.0,4.6,0.01
MN,2,17.1,10.0,92.0,30.02,4.0,4.6,0.0
NC,2,41.0,36.4,89.0,30.35,8.0,6.9,0.07
NC,2,42.1,36.1,92.0,30.21,7.0,10.4,0.0
NC,3,38.3,33.2,94.0,30.19,4.0,6.9,0.06
NC,2,42.1,37.1,92.0,30.2,10.0,8.1,0.17
NC,3,43.0,40.3,97.0,30.29,3.0,4.6,0.19
NC,2,43.0,40.3,97.0,30.29,3.0,4.6,0.19
VA,2,44.1,39.5,89.0,30.32,5.0,8.1,0.13
SC,2,39.0,34.8,93.0,30.33,6.0,5.8,0.04
SC,2,41.0,36.4,86.0,30.33,5.0,6.9,0.06
SC,3,39.0,34.0,93.0,30.31,4.0,6.9,0.1
KS,3,27.0,15.2,96.0,30.39,0.8,15.0,0.0
MO,3,26.1,13.1,71.0,30.43,9.0,17.3,0.0
MS,3,44.1,39.5,100.0,30.08,2.0,8.1,0.0
TN,2,46.0,43.9,89.0,30.21,2.0,4.6,0.01
MI,3,28.0,19.3,92.0,30.22,8.0,9.2,0.0
MI,3,28.0,19.3,92.0,30.22,8.0,9.2,0.0
MA,2,46.0,39.0,96.0,29.75,1.5,17.3,0.02
NY,3,30.9,23.5,79.0,30.2,9.0,8.1,0.0
VA,2,42.1,36.6,100.0,29.99,10.0,9.2,0.0
MD,3,42.1,39.2,96.0,30.07,10.0,4.6,0.01
KY,2,37.0,31.0,89.0,30.3,5.0,8.1,0.01
VA,2,45.0,40.1,90.0,30.02,10.0,9.2,0.0
LA,3,44.1,38.1,89.0,30.18,10.0,11.5,0.0
LA,3,43.0,37.7,89.0,30.22,10.0,9.2,0.0
AL,2,46.0,40.6,93.0,30.22,10.0,11.5,0.01
AL,2,46.4,41.9,92.0,30.24,10.0,9.2,0.0
NY,3,30.0,20.5,69.0,30.25,10.0,11.5,0.01
NY,2,24.1,10.6,62.0,30.34,10.0,17.3,0.01
NY,2,26.1,19.4,88.0,30.4,1.2,5.8,0.0
NY,2,30.9,27.5,69.0,30.53,9.0,3.5,0.0
SC,2,46.0,40.6,73.0,30.35,10.0,11.5,0.0
NC,2,46.0,41.4,76.0,30.38,9.0,9.2,0.0
AL,3,42.1,38.4,96.0,30.3,2.0,5.8,0.03
AL,2,42.1,37.7,96.0,30.29,3.0,6.9,0.0
TN,2,36.0,27.1,76.0,30.38,7.0,13.8,0.0
AL,3,42.1,38.4,96.0,30.2,5.0,5.8,0.03
MI,2,32.0,27.5,96.0,29.93,1.8,4.6,0.0
NJ,3,30.9,22.2,100.0,30.37,0.2,10.4,0.0
NJ,3,32.0,21.6,88.0,30.27,0.2,15.0,0.05
NY,3,35.1,23.8,96.0,30.1,7.0,20.7,0.04
RI,2,33.1,26.1,96.0,30.25,0.5,8.1,0.14
VA,2,31.1,24.5,94.0,30.35,5.0,6.9,0.05
VA,2,30.9,22.8,92.0,30.41,2.0,9.2,0.06
VA,3,30.9,22.2,92.0,30.35,2.0,10.4,0.04
MD,3,32.0,23.6,93.0,30.37,4.0,10.4,0.06
OH,2,33.1,23.4,92.0,30.1,5.0,13.8,0.07
NC,2,37.0,29.8,96.0,30.14,1.8,10.4,0.08
NC,2,39.0,31.4,96.0,30.02,2.5,12.7,0.0
