P1	P2	A
-5.609408673437945581e-01	3.317446551875677496e+00	2.000000000000000000e+00
-7.864010533941806491e-01	2.160418855449907749e+00	2.000000000000000000e+00
-5.897359392207015549e-01	1.709436713168704935e+00	3.000000000000000000e+00
-3.570683652664749519e-01	3.080484607251499973e+00	2.000000000000000000e+00
-8.880216490515444594e-01	-1.754632987813939282e+00	3.000000000000000000e+00
-2.183732870318646935e+00	-2.071373960075229448e+00	3.000000000000000000e+00
5.851449282157593634e-01	-2.906856200303302273e+00	3.000000000000000000e+00
-3.299194525899867836e-01	4.663604059945634095e-01	3.000000000000000000e+00
9.417501325151033109e-01	6.327717850215370810e-01	3.000000000000000000e+00
1.996307485389431924e-01	2.074169900607282013e+00	2.000000000000000000e+00
7.384958145495901238e-01	2.039911519764185055e+00	2.000000000000000000e+00
1.352541482148877705e+00	1.357603971929692843e+00	2.000000000000000000e+00
6.865309878507645791e-02	7.542012121603706154e-01	2.000000000000000000e+00
6.248289815686407511e-01	6.655014230744039638e-01	2.000000000000000000e+00
1.675368680597622228e+00	1.357153405925943579e+00	2.000000000000000000e+00
8.016490639709505928e-01	1.386520515885038551e-01	2.000000000000000000e+00
5.974507761531503425e-01	-4.285556954568638943e-01	2.000000000000000000e+00
4.493050763742639786e-01	1.204011880381209654e+00	2.000000000000000000e+00
7.815115090543005572e-01	1.772525526678900176e+00	2.000000000000000000e+00
2.990329282675982636e+00	1.098407378252425293e+00	2.000000000000000000e+00
-1.813832656573920732e-01	3.637850919393137872e+00	2.000000000000000000e+00
-1.618871691795466639e+00	1.009794172396767609e+00	3.000000000000000000e+00
-1.754897378835101884e+00	1.685754893216537598e+00	3.000000000000000000e+00
-8.955907955765380901e-01	-1.589076383986783303e-01	3.000000000000000000e+00
-2.342283589602126792e+00	-2.697921140590748834e-01	3.000000000000000000e+00
1.434499746791894625e-01	-1.613087363805749019e+00	3.000000000000000000e+00
6.038633042485086477e-01	-4.131572476222149515e-01	3.000000000000000000e+00
-2.824387938890546401e+00	-9.341903392480754853e-01	3.000000000000000000e+00
-1.502942891805309600e+00	2.188431686970338852e+00	2.000000000000000000e+00
-1.375950673013896175e+00	1.410486923553881056e+00	2.000000000000000000e+00
6.159525888357380019e-01	1.244175221195402026e+00	2.000000000000000000e+00
-5.113969398141575695e-01	2.295219256445876432e+00	2.000000000000000000e+00
-4.898479602918642262e-01	-1.282741973842503658e+00	2.000000000000000000e+00
-1.317760203848356015e+00	-3.576304095282736850e-01	2.000000000000000000e+00
-1.122843562348720514e+00	2.195433028635703110e+00	2.000000000000000000e+00
-1.723828446123981672e+00	-3.217848755608498368e-01	2.000000000000000000e+00
-1.156516606230283184e+00	1.051169140944596458e+00	2.000000000000000000e+00
-7.637307331386691267e-01	1.289084518828200521e+00	2.000000000000000000e+00
-3.071747509394760489e-01	-3.290748490764682788e-01	2.000000000000000000e+00
2.101833550606392542e+00	5.777167037066869293e-01	2.000000000000000000e+00
1.618202351812027207e+00	2.060510512921188420e-01	3.000000000000000000e+00
1.425479784058106159e+00	4.392663511565451095e-01	2.000000000000000000e+00
7.201742977283770442e-01	3.773309082538219283e-01	3.000000000000000000e+00
3.574433964267933334e-02	1.062684067088454754e+00	3.000000000000000000e+00
-1.649558307891265008e+00	9.984702159535794319e-01	2.000000000000000000e+00
-9.836740846291008866e-01	-1.648704813267658775e-01	2.000000000000000000e+00
-7.111157218380246281e-01	-5.944242103238162045e-01	2.000000000000000000e+00
-1.995930976007704416e+00	-1.659915383188375504e+00	2.000000000000000000e+00
-1.296848478013416850e+00	3.312943317696092072e-01	2.000000000000000000e+00
-1.573572538312079550e+00	-7.784928577889600743e-02	2.000000000000000000e+00
-1.804336328070456963e+00	7.075344116220569912e-01	2.000000000000000000e+00
-2.034331461910844130e+00	-4.463791613066161457e-01	2.000000000000000000e+00
