Start_Time,State,Counts
1,AL,761
1,AR,23
1,AZ,2167
1,CA,12364
1,CO,1139
1,CT,595
1,DC,109
1,DE,97
1,FL,5135
1,GA,2022
1,IA,208
1,ID,8
1,IL,2306
1,IN,1650
1,KS,262
1,KY,684
1,LA,1519
1,MA,999
1,MD,1062
1,ME,54
1,MI,2772
1,MN,2245
1,MO,770
1,MS,198
1,MT,26
1,NC,5127
1,NE,612
1,NH,237
1,NJ,1266
1,NM,154
1,NV,156
1,NY,3376
1,OH,1489
1,OK,1782
1,OR,755
1,PA,1930
1,RI,292
1,SC,5156
1,SD,5
1,TN,1852
1,TX,6636
1,UT,638
1,VA,2229
1,VT,19
1,WA,1546
1,WI,509
1,WV,45
1,WY,13
2,AL,728
2,AR,57
2,AZ,1722
2,CA,11489
2,CO,1147
2,CT,528
2,DC,124
2,DE,134
2,FL,4924
2,GA,1945
2,IA,370
2,ID,30
2,IL,2132
2,IN,1206
2,KS,208
2,KY,730
2,LA,1461
2,MA,843
2,MD,1032
2,ME,31
2,MI,2436
2,MN,1865
2,MO,810
2,MS,236
2,MT,57
2,NC,5068
2,ND,1
2,NE,553
2,NH,262
2,NJ,1251
2,NM,197
2,NV,258
2,NY,2640
2,OH,1262
2,OK,1560
2,OR,801
2,PA,1548
2,RI,229
2,SC,5168
2,TN,1963
2,TX,7762
2,UT,951
2,VA,1857
2,VT,22
2,WA,1382
2,WI,430
2,WV,40
2,WY,13
3,AL,1103
3,AR,31
3,AZ,1634
3,CA,14826
3,CO,1086
3,CT,483
3,DC,86
3,DE,198
3,FL,5578
3,GA,2039
3,IA,193
3,ID,45
3,IL,1958
3,IN,1031
3,KS,226
3,KY,718
3,LA,1885
3,MA,618
3,MD,1142
3,ME,24
3,MI,2087
3,MN,1541
3,MO,848
3,MS,197
3,MT,4
3,NC,4321
3,NE,428
3,NH,185
3,NJ,1485
3,NM,192
3,NV,203
3,NY,3025
3,OH,1222
3,OK,1721
3,OR,806
3,PA,1878
3,RI,202
3,SC,5472
3,TN,1923
3,TX,7256
3,UT,604
3,VA,1966
3,VT,20
3,WA,1496
3,WI,375
3,WV,40
3,WY,16
4,AL,1049
4,AR,52
4,AZ,1706
4,CA,13769
4,CO,955
4,CT,555
4,DC,93
4,DE,118
4,FL,5495
4,GA,1903
4,IA,231
4,ID,31
4,IL,1565
4,IN,1100
4,KS,184
4,KY,622
4,LA,2098
4,MA,591
4,MD,897
4,ME,39
4,MI,2057
4,MN,1774
4,MO,741
4,MS,192
4,MT,13
4,NC,5366
4,NE,445
4,NH,137
4,NJ,1236
4,NM,154
4,NV,196
4,NY,2868
4,OH,1140
4,OK,1716
4,OR,611
4,PA,1769
4,RI,225
4,SC,5394
4,TN,2185
4,TX,7051
4,UT,635
4,VA,1665
4,VT,12
4,WA,1495
4,WI,384
4,WV,62
4,WY,13
5,AL,1112
5,AR,47
5,AZ,1937
5,CA,13595
5,CO,1230
5,CT,553
5,DC,95
5,DE,202
5,FL,5935
5,GA,1792
5,IA,211
5,ID,44
5,IL,1814
5,IN,1064
5,KS,182
5,KY,554
5,LA,2392
5,MA,897
5,MD,844
5,ME,29
5,MI,2381
5,MN,1350
5,MO,769
5,MS,204
5,MT,5
5,NC,5826
5,ND,13
5,NE,480
5,NH,183
5,NJ,1292
5,NM,217
5,NV,212
5,NY,2890
5,OH,1187
5,OK,2000
5,OR,648
5,PA,2058
5,RI,257
5,SC,5990
5,TN,2118
5,TX,7067
5,UT,711
5,VA,1857
5,VT,1
5,WA,1754
5,WI,411
5,WV,60
5,WY,7
6,AL,957
6,AR,29
6,AZ,1629
6,CA,12653
6,CO,1004
6,CT,566
6,DC,85
6,DE,140
6,FL,4891
6,GA,1923
6,IA,196
6,ID,31
6,IL,1760
6,IN,1105
6,KS,135
6,KY,642
6,LA,1579
6,MA,884
6,MD,799
6,ME,55
6,MI,1885
6,MN,1405
6,MO,593
6,MS,165
6,MT,4
6,NC,4220
6,NE,336
6,NH,240
6,NJ,1323
6,NM,160
6,NV,236
6,NY,3456
6,OH,1317
6,OK,1465
6,OR,712
6,PA,1824
6,RI,257
6,SC,3961
6,TN,1794
6,TX,6403
6,UT,651
6,VA,1803
6,VT,17
6,WA,2043
6,WI,403
6,WV,37
6,WY,14
7,AL,769
7,AR,18
7,AZ,1639
7,CA,14050
7,CO,866
7,CT,466
7,DC,57
7,DE,116
7,FL,5004
7,GA,1833
7,IA,137
7,ID,51
7,IL,1872
7,IN,1246
7,KS,137
7,KY,626
7,LA,1319
7,MA,511
7,MD,732
7,ME,94
7,MI,1626
7,MN,1361
7,MO,540
7,MS,172
7,MT,1
7,NC,3691
7,ND,2
7,NE,358
7,NH,167
7,NJ,1074
7,NM,93
7,NV,210
7,NY,2821
7,OH,1175
7,OK,1732
7,OR,635
7,PA,1830
7,RI,285
7,SC,4074
7,TN,1701
7,TX,5871
7,UT,563
7,VA,2129
7,VT,7
7,WA,1731
7,WI,299
7,WV,46
7,WY,10
8,AL,1166
8,AR,34
8,AZ,2398
8,CA,15340
8,CO,1248
8,CT,423
8,DC,47
8,DE,102
8,FL,6144
8,GA,2403
8,IA,174
8,ID,42
8,IL,1985
8,IN,1030
8,KS,194
8,KY,697
8,LA,1769
8,MA,752
8,MD,649
8,ME,103
8,MI,1808
8,MN,1673
8,MO,641
8,MS,210
8,MT,3
8,NC,4319
8,ND,1
8,NE,521
8,NH,193
8,NJ,914
8,NM,174
8,NV,261
8,NY,2683
8,OH,1061
8,OK,1914
8,OR,3246
8,PA,1676
8,RI,313
8,SC,4109
8,SD,1
8,TN,2223
8,TX,6947
8,UT,725
8,VA,2029
8,VT,8
8,WA,1707
8,WI,300
8,WV,14
8,WY,7
9,AL,1351
9,AR,67
9,AZ,1786
9,CA,14150
9,CO,1290
9,CT,526
9,DC,65
9,DE,44
9,FL,4872
9,GA,1841
9,IA,123
9,ID,39
9,IL,2170
9,IN,1420
9,KS,204
9,KY,713
9,LA,1654
9,MA,716
9,MD,739
9,ME,80
9,MI,1850
9,MN,1544
9,MO,629
9,MS,244
9,MT,5
9,NC,4050
9,ND,1
9,NE,514
9,NH,178
9,NJ,1167
9,NM,195
9,NV,200
9,NY,3123
9,OH,1618
9,OK,1418
9,OR,3367
9,PA,1815
9,RI,323
9,SC,3606
9,SD,1
9,TN,2150
9,TX,6588
9,UT,741
9,VA,2308
9,VT,18
9,WA,1366
9,WI,348
9,WV,58
9,WY,8
10,AL,1729
10,AR,64
10,AZ,1924
10,CA,14490
10,CO,1323
10,CT,615
10,DC,68
10,DE,185
10,FL,6761
10,GA,2378
10,IA,196
10,ID,40
10,IL,2749
10,IN,1590
10,KS,236
10,KY,735
10,LA,1723
10,MA,973
10,MD,1099
10,ME,64
10,MI,2001
10,MN,1681
10,MO,818
10,MS,234
10,MT,12
10,NC,5393
10,NE,633
10,NH,201
10,NJ,1296
10,NM,195
10,NV,222
10,NY,4026
10,OH,2460
10,OK,1748
10,OR,2940
10,PA,2239
10,RI,319
10,SC,5065
10,SD,1
10,TN,2542
10,TX,7899
10,UT,891
10,VA,3503
10,VT,15
10,WA,1371
10,WI,442
10,WV,90
10,WY,11
11,AL,1718
11,AR,95
11,AZ,2253
11,CA,12477
11,CO,1531
11,CT,594
11,DC,53
11,DE,142
11,FL,5701
11,GA,2332
11,IA,228
11,ID,28
11,IL,2250
11,IN,539
11,KS,273
11,KY,673
11,LA,1556
11,MA,941
11,MD,1097
11,ME,79
11,MI,1928
11,MN,1877
11,MO,947
11,MS,237
11,MT,8
11,NC,4662
11,ND,1
11,NE,466
11,NH,322
11,NJ,1460
11,NM,217
11,NV,250
11,NY,4068
11,OH,2164
11,OK,1861
11,OR,3802
11,PA,2030
11,RI,322
11,SC,4283
11,SD,2
11,TN,2252
11,TX,7558
11,UT,1457
11,VA,3006
11,VT,27
11,WA,1474
11,WI,666
11,WV,105
11,WY,71
12,AL,1652
12,AR,80
12,AZ,1907
12,CA,7582
12,CO,1302
12,CT,509
12,DC,69
12,DE,165
12,FL,5304
12,GA,2202
12,IA,215
12,ID,30
12,IL,1503
12,IN,721
12,KS,155
12,KY,554
12,LA,1465
12,MA,701
12,MD,913
12,ME,51
12,MI,1456
12,MN,1897
12,MO,649
12,MS,247
12,MT,14
12,NC,4193
12,NE,504
12,NH,196
12,NJ,1188
12,NM,164
12,NV,257
12,NY,2977
12,OH,1553
12,OK,1568
12,OR,4174
12,PA,1618
12,RI,224
12,SC,4083
12,SD,3
12,TN,1759
12,TX,7012
12,UT,2586
12,VA,2677
12,VT,22
12,WA,1552
12,WI,464
12,WV,75
12,WY,16
