Start_Time,State,Day,Night
1,AL,547,214
1,AR,18,5
1,AZ,1370,797
1,CA,7104,5260
1,CO,705,434
1,CT,361,234
1,DC,58,50
1,DE,44,53
1,FL,3466,1669
1,GA,1265,757
1,IA,118,90
1,ID,4,4
1,IL,1230,1076
1,IN,879,771
1,KS,174,88
1,KY,367,317
1,LA,1156,363
1,MA,626,373
1,MD,567,495
1,ME,37,17
1,MI,1471,1301
1,MN,1317,928
1,MO,467,303
1,MS,169,29
1,MT,20,6
1,NC,3461,1666
1,NE,404,208
1,NH,131,106
1,NJ,805,461
1,NM,129,25
1,NV,98,58
1,NY,2007,1369
1,OH,801,688
1,OK,1245,537
1,OR,405,350
1,PA,1188,742
1,RI,202,90
1,SC,3469,1687
1,SD,2,3
1,TN,1296,556
1,TX,4676,1960
1,UT,371,267
1,VA,1271,958
1,VT,11,8
1,WA,733,813
1,WI,275,234
1,WV,30,15
1,WY,7,6
2,AL,512,216
2,AR,37,20
2,AZ,1216,506
2,CA,7558,3931
2,CO,882,265
2,CT,386,142
2,DC,79,45
2,DE,79,55
2,FL,3649,1274
2,GA,1306,639
2,IA,253,117
2,ID,19,11
2,IL,1337,795
2,IN,766,440
2,KS,168,40
2,KY,447,283
2,LA,1116,345
2,MA,587,256
2,MD,688,344
2,ME,19,12
2,MI,1531,905
2,MN,1293,572
2,MO,556,254
2,MS,198,38
2,MT,48,9
2,NC,3917,1151
2,ND,1,0
2,NE,416,137
2,NH,192,70
2,NJ,823,428
2,NM,169,28
2,NV,182,76
2,NY,1684,956
2,OH,809,453
2,OK,1135,425
2,OR,526,275
2,PA,1068,480
2,RI,166,63
2,SC,3877,1291
2,TN,1408,555
2,TX,5632,2130
2,UT,683,268
2,VA,1264,593
2,VT,17,5
2,WA,846,536
2,WI,283,147
2,WV,29,11
2,WY,9,4
3,AL,876,227
3,AR,19,12
3,AZ,1249,385
3,CA,10519,4307
3,CO,851,235
3,CT,395,88
3,DC,69,17
3,DE,131,67
3,FL,4119,1459
3,GA,1500,539
3,IA,156,37
3,ID,29,16
3,IL,1485,473
3,IN,694,337
3,KS,192,34
3,KY,498,220
3,LA,1545,340
3,MA,493,125
3,MD,836,306
3,ME,19,5
3,MI,1389,698
3,MN,1183,358
3,MO,675,173
3,MS,176,21
3,MT,4,0
3,NC,3470,851
3,NE,337,91
3,NH,140,45
3,NJ,1134,351
3,NM,173,19
3,NV,143,60
3,NY,2109,916
3,OH,876,346
3,OK,1388,333
3,OR,609,197
3,PA,1379,499
3,RI,155,47
3,SC,4437,1035
3,TN,1472,451
3,TX,5697,1559
3,UT,467,137
3,VA,1471,495
3,VT,15,5
3,WA,1061,435
3,WI,269,106
3,WV,32,8
3,WY,11,5
4,AL,904,145
4,AR,36,16
4,AZ,1431,275
4,CA,10723,3046
4,CO,820,135
4,CT,470,85
4,DC,79,14
4,DE,92,26
4,FL,4334,1161
4,GA,1507,396
4,IA,201,30
4,ID,26,5
4,IL,1219,346
4,IN,874,226
4,KS,167,17
4,KY,539,83
4,LA,1879,219
4,MA,534,57
4,MD,708,189
4,ME,37,2
4,MI,1613,444
4,MN,1374,400
4,MO,617,124
4,MS,183,9
4,MT,11,2
4,NC,4671,695
4,NE,380,65
4,NH,125,12
4,NJ,1064,172
4,NM,146,8
4,NV,159,37
4,NY,2352,515
4,OH,925,215
4,OK,1412,304
4,OR,527,84
4,PA,1460,309
4,RI,212,13
